Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty
thailand,Kata Beach,7.82188796997070,98.29536437988281,Beach break,Right & left,Sand,Beginners
thailand,Koh Lanta,7.61571979522705,99.01977539062500,Beach break,Right & left,Sand,Beginners
thailand,Mae Ramphung Beach Rayong,12.59335041046143,101.41371917724610,Reef break,Right & left,Sand,Beginners
australia,Avoca Beach,-33.46526718139648,151.43394470214844,Point break,Right & left,Sand,Intermediate surfer
australia,Shelly Beach,-33.37343215942383,151.48670959472656,Beach break,Right & left,Sand,Beginners
australia,Terrigal Haven,-33.44633865356445,151.45027160644530,Point break,Right,Rocky reef,Intermediate surfer
australia,Bombo Beach,-34.65806198120117,150.85833740234375,Beach break,Right & left,Sand,Beginners
australia,Boneyards,-34.67839431762695,150.87524414062500,Reef break,Right,Boulders,Intermediate surfer
australia,Cowries,-34.57585906982422,150.87413024902344,Reef break,Right,Rocky reef,Intermediate surfer
australia,Durras North ,-35.63916015625000,150.31155395507812,Beach break,Right & left,Sand,Intermediate surfer
australia,East Corrimal ,-34.37717437744141,150.92263793945312,Beach break,Right & left,Sand,Intermediate surfer
australia,Gerringong,-34.74894714355469,150.83404541015625,Beach break,Right & left,Sand,Beginners
australia,Golf Course,-35.34404373168945,150.48098754882812,Reef break,Left,Rocky reef,Beginners
australia,Kiama Wedge,-34.67465209960938,150.85661315917970,Reef break,Right & left,Sand & Rock,Beginners
australia,Mads,-34.56233215332031,150.87498474121094,Reef break,Left,Rocky reef,Intermediate surfer
australia,Mcalueys ,-34.55951690673828,150.87115478515625,Beach break,Right & left,Rocky reef,Unknown
australia,Mystics,-34.61936569213867,150.85568237304688,Beach break,Right & left,Sand,Intermediate surfer
australia,Oilies,-34.45074844360352,150.90127563476562,Breakwater / groyne,Right,Sand & Rock,Intermediate surfer
australia,Pool Point,-34.58004760742188,150.87713623046875,Reef break,Right,Rocky reef,Intermediate surfer
australia,Port Reef,-34.49390411376953,150.91004943847656,Reef break,Left,Sand & Rock,Intermediate surfer
australia,Red Sand,-34.59315109252930,150.88771057128906,Reef break,Right,Rocky reef,Advanced surfer
