Country,Break,Lat,Long,Wave_type,Direction,Bottom,Difficulty,Fixed
indonesia,telescopes,-2.06309533119202,99.53922271728516,Reef break,Left,Coral reef,Intermediate surfer,N
japan,shirahama,34.69462585449219,138.97601318359375,Beach break,Right & left,Sand,Beginners,N
japan,onjuku,35.18040847778320,140.35668945312500,Beach break,Right & left,Sand,Beginners,N
japan,shichirigahama,35.30239105224609,139.50971984863280,Beach break,Right & left,Sand & Rock,Intermediate surfer,N
japan,corners,26.33425140380859,127.74145507812500,Reef break,Right & left,Coral reef,Intermediate surfer,N
japan,turtles,26.35087966918945,127.74121856689453,Reef break,Right,Rocky reef,Advanced surfer,N
japan,ozaki,33.31959533691406,134.19645690917970,Beach break,Right & left,Sand & Rock,Beginners,N
japan,shiina,33.32040023803711,134.19540405273438,Beach break,Right & left,Sand & Rock,Beginners,N
maldives,blubowl,0.23423129320145,73.28333282470703,Reef break,Right,Coral reef,Advanced surfer,N
maldives,cokes,4.36857700347900,73.65492248535156,Reef break,Right,Rocky reef,Intermediate surfer,N
maldives,high_rights,-0.59148633480072,73.07585144042969,Reef break,Right & left,Rocky reef,Beginners,N
maldives,honkeys,4.31128168106079,73.58217620849610,Reef break,Left,Coral reef,Intermediate surfer,N
maldives,jailbreaks,4.30768728256226,73.57870483398438,Reef break,Right,Coral reef,Intermediate surfer,N
maldives,machines,2.03624773025513,73.53556823730469,Reef break,Right,Coral reef,Intermediate surfer,N
maldives,pasta_point,4.31465911865234,73.58964538574219,Reef break,Left,Coral reef,Advanced surfer,N
maldives,sultans,4.31209516525269,73.58685302734375,Reef break,Right,Coral reef,Intermediate surfer,N
maldives,uthuru_muli,4.31536388397217,72.93727111816406,Reef break,Left,Coral reef,Intermediate surfer,N
maldives,yin_yang,1.79888725280762,73.39596557617188,Reef break,Right,Coral reef,Advanced surfer,N
middle_east,a1,31.81131744384766,34.63800430297852,Beach break,Right,Sand,Beginners,N
middle_east,hamaaravi_(the_wetern_coast),31.84373283386230,34.65774536132812,Beach break,Right & left,Sand,Intermediate surfer,N
middle_east,hadromi_(the_south)_herzelia,32.15672302246094,34.79503250122070,Beach break,Right,Sand,Intermediate surfer,N
middle_east,haim,32.30259704589844,34.84111785888672,Reef break,Right & left,Sand & Rock,Beginners,N
middle_east,hilton_north,32.09124755859375,34.76966857910156,Beach break,Right & left,Sand & Rock,Beginners,N
middle_east,neharia,33.01139831542969,35.08870315551758,Beach break,Right,Sand & Rock,Intermediate surfer,N
middle_east,palmahim_the_tzinorot_(the_tubs),31.92591285705566,34.69593048095703,Beach break,Right & left,Sand & Rock,Advanced surfer,N
middle_east,the_marina,32.16605758666992,34.79732894897461,Beach break,Right & left,Sand,Intermediate surfer,N
